"","BCH_309","BCH_313","BCH_314","BCH_317","BInt_390","BInt_391","BInt_392","BInt_398","gene"
"ENSMUSG00000068015",339.295054068622,422.369181318406,281.125173901325,308.85106065906,296.812984827781,156.005277071961,344.796846780621,229.046653454085,"Lrch1"
"ENSMUSG00000068036",1530.45934174684,1537.74325887562,1547.56203222553,1680.27249226104,1509.21856692092,1889.25034691383,1441.57919749231,1226.2497691472,"Afdn"
"ENSMUSG00000068037",238.647897357135,235.142506406255,259.147961609364,271.011692300169,293.794547693939,141.462412260168,289.793540270379,229.046653454085,"Mas1"
"ENSMUSG00000068039",2343.93739186856,2286.64995852423,2903.73917407524,3227.59585245031,2179.31161063381,2225.05831620432,3478.34342811783,2543.5180774399,"Tcp1"
"ENSMUSG00000068040",1261.72105733164,1295.50211076654,1350.68283877672,1548.34604582059,1208.38099924802,822.332901175928,1015.50880825626,917.186817543214,"Tm9sf4"
"ENSMUSG00000068062",60.1807741161471,40.8171897912745,46.7015761204155,24.5444551517134,45.2765570076276,27.763651004332,38.584409044498,53.0107975243079,"Gm14164"
"ENSMUSG00000068079",23.8647897357135,10.6479625542455,21.9772122919602,8.18148505057113,14.0860399579286,50.2389875316483,9.8513384794463,20.0040745374747,"Tcf15"
"ENSMUSG00000068099",1615.54250515243,1480.95412525298,1639.1337501087,1999.35040923332,1943.87351419414,3237.77053855281,2142.66611927957,2355.47977678764,"Smim45"
"ENSMUSG00000068101",42.5415817027936,35.4932085141518,34.7972527956037,56.2477097226765,61.3748883881174,93.8675819670272,41.8681885376468,59.0120198855503,"Cenpm"
"ENSMUSG00000068114",229.309501373595,307.903583860267,264.642264682354,222.945467628063,317.942044764674,261.771566612273,233.96928888685,258.052561533423,"Ccdc134"
"ENSMUSG00000068115",130.737543769561,153.508126823706,180.39628422984,147.26673091028,160.983313804898,193.02347841107,178.145037503321,115.023428590479,"Ninl"
"ENSMUSG00000068117",79.8951656369539,84.2963702211104,62.268768160554,42.9527965154984,93.571551149097,26.4415723850781,60.7499206232522,48.0097788899392,"Mei1"
"ENSMUSG00000068122",12.4511946447201,29.2818970241752,18.3143435766335,9.20417068189252,4.02458284512245,2.64415723850781,6.56755898629754,11.0022409956111,"Agtr2"
"ENSMUSG00000068130",28.0151879506202,22.1832553213448,25.6400810072869,25.5671407830348,34.2089541835408,99.1558964440428,36.9425192979236,44.0089639824443,"Zfp442"
"ENSMUSG00000068134",237.610297803408,220.945223000595,262.810830324691,199.423698107671,213.30289079149,510.322347032007,298.002989003251,253.051542899055,"Zfp120"
"ENSMUSG00000068141",4.1503982149067,5.32398127712276,3.6628687153267,7.15879941924973,12.0737485353674,19.8311792888086,13.1351179725951,12.0024447224848,"Gm10232"
"ENSMUSG00000068151",94.4215593891273,103.817634903894,107.138909923306,145.221359647637,138.848108156725,322.587183097953,131.351179725951,113.023021136732,"A230006K03Rik"
"ENSMUSG00000068154",177.429523687261,182.790023847882,139.189011182415,122.722275758567,128.786651043918,79.3247171552342,84.5573219485808,118.024039771101,"Insm1"
"ENSMUSG00000068184",333.069456746262,314.114895350243,391.011235361126,414.187680685163,363.218601772301,758.873127451741,529.509443270239,492.100233621877,"Ndufaf2"
"ENSMUSG00000068196",45.6543803639737,52.3524825583738,73.2573743065341,51.1342815660695,59.3625969655562,80.6467957744881,51.7195270170931,76.0154832424038,"Col8a1"
"ENSMUSG00000068205",726.319687608672,711.638830708743,906.560007043359,699.516971823831,697.258977917465,1356.45266335451,918.637313208368,772.157277146523,"Macrod2"
"ENSMUSG00000068206",667.176513046251,616.694497933387,667.557823368292,647.36000462644,727.443349255883,1065.59536711865,641.157946037297,826.168278397704,"Pick1"
"ENSMUSG00000068220",203.369512530428,156.170117462268,250.906506999879,294.533461820561,273.671633468327,723.177004731885,325.094169821728,367.07476776266,"Lgals1"
"ENSMUSG00000068240",18.6767919670801,15.0846136185145,27.4715153649503,38.8620539902128,37.2273913173827,89.9013461092655,31.1959051849133,49.009982616813,"Uba52rt"
"ENSMUSG00000068250",268.738284415209,215.621241723472,164.829092189702,199.423698107671,253.548719242714,428.353472638265,276.658422297784,290.059080793383,"Amn1"
"ENSMUSG00000068263",124.511946447201,129.550211076654,100.728889671484,115.563476339317,90.5531140152552,186.4130853148,94.4086604280271,89.0181316917623,"Efcc1"
